Game no,Winner,Loser,Draw,Time
1,Yashwanth,Ranga,NA,October 20 2024 21:34:53
2,Yashwanth,Gagan,NA,October 20 2024 21:35:20
3,Ranga,Gagan,NA,October 20 2024 21:35:57
4,NA,NA,"Tom, Saketh",October 20 2024 21:36:30
5,NA,NA,"Saketh, Pranav",October 20 2024 21:38:13
6,NA,NA,"Tom, Pranav",October 20 2024 21:39:37
7,Ranga,Yashwanth,NA,October 20 2024 21:40:39
8,pranav,tom,NA,October 20 2024 23:49:27
9,Saketh,Pavan,NA,October 21 2024 11:57:44
10,Saketh,Pavan,NA,October 21 2024 11:58:34
11,pant,Yash,NA,October 21 2024 11:59:00
12,33,22,NA,October 21 2024 21:06:27
13,NA,NA,"11, 22",October 21 2024 22:46:23
14,22,11,NA,October 21 2024 22:59:24
15,NA,NA,"22, 33",October 22 2024 15:28:03
16,Jash,Yash,NA,October 22 2024 17:29:35
